Country,First Opening,country_code,outlets_per_mil,num_outlets,lat,long
USA,5/15/1940,USA,40.807,13375,37.69,-122.47
USA,5/15/1940,USA,40.807,13375,41.4,-73.47
USA,5/15/1940,USA,40.807,13375,37.81,-121.97
USA,5/15/1940,USA,40.807,13375,36.58,-79.41
USA,5/15/1940,USA,40.807,13375,41.56,-90.6
USA,5/15/1940,USA,40.807,13375,26.08,-80.29
USA,5/15/1940,USA,40.807,13375,38.55,-121.74
USA,5/15/1940,USA,40.807,13375,39.78,-84.2
USA,5/15/1940,USA,40.807,13375,29.19,-81.05
USA,5/15/1940,USA,40.807,13375,41.93,-88.75
USA,5/15/1940,USA,40.807,13375,32.6,-96.86
USA,5/15/1940,USA,40.807,13375,42.31,-83.21
USA,5/15/1940,USA,40.807,13375,42.33,-83.27
USA,5/15/1940,USA,40.807,13375,34.57,-86.99
USA,5/15/1940,USA,40.807,13375,39.85,-88.93
USA,5/15/1940,USA,40.807,13375,26.31,-80.12
USA,5/15/1940,USA,40.807,13375,35.76,-119.25
USA,5/15/1940,USA,40.807,13375,26.45,-80.09
USA,5/15/1940,USA,40.807,13375,28.91,-81.21
USA,5/15/1940,USA,40.807,13375,41.74,-70.2
USA,5/15/1940,USA,40.807,13375,33.21,-97.13
USA,5/15/1940,USA,40.807,13375,39.77,-104.87
USA,5/15/1940,USA,40.807,13375,41.58,-93.62
USA,5/15/1940,USA,40.807,13375,42.03,-87.9
USA,5/15/1940,USA,40.807,13375,42.38,-83.1
USA,5/15/1940,USA,40.807,13375,34,-117.81
USA,5/15/1940,USA,40.807,13375,31.24,-85.41
USA,5/15/1940,USA,40.807,13375,41.8,-88.02
USA,5/15/1940,USA,40.807,13375,33.94,-118.13
USA,5/15/1940,USA,40.807,13375,37.72,-121.91
USA,5/15/1940,USA,40.807,13375,42.5,-90.69
USA,5/15/1940,USA,40.807,13375,46.78,-92.12
USA,5/15/1940,USA,40.807,13375,39.27,-76.5
USA,5/15/1940,USA,40.807,13375,35.98,-78.91
USA,5/15/1940,USA,40.807,13375,42.04,-70.67
USA,5/15/1940,USA,40.807,13375,44.82,-93.16
USA,5/15/1940,USA,40.807,13375,40.43,-74.42
USA,5/15/1940,USA,40.807,13375,41.76,-72.62
USA,5/15/1940,USA,40.807,13375,27.98,-82.38
USA,5/15/1940,USA,40.807,13375,42.74,-84.48
USA,5/15/1940,USA,40.807,13375,34.03,-118.17
USA,5/15/1940,USA,40.807,13375,40.77,-74.21
USA,5/15/1940,USA,40.807,13375,41.8,-71.36
USA,5/15/1940,USA,40.807,13375,44.82,-91.49
USA,5/15/1940,USA,40.807,13375,44.85,-93.46
USA,5/15/1940,USA,40.807,13375,44.89,-93.36
USA,5/15/1940,USA,40.807,13375,26.3,-98.16
USA,5/15/1940,USA,40.807,13375,40.53,-74.37
USA,5/15/1940,USA,40.807,13375,35.67,-97.41
USA,5/15/1940,USA,40.807,13375,47.83,-122.37
USA,5/15/1940,USA,40.807,13375,28.02,-82.5
USA,5/15/1940,USA,40.807,13375,32.8,-116.96
USA,5/15/1940,USA,40.807,13375,33.6,-112.32
USA,5/15/1940,USA,40.807,13375,34.07,-118.03
USA,5/15/1940,USA,40.807,13375,31.85,-106.44
USA,5/15/1940,USA,40.807,13375,39.41,-76.94
USA,5/15/1940,USA,40.807,13375,42.04,-88.29
USA,5/15/1940,USA,40.807,13375,40.67,-74.19
USA,5/15/1940,USA,40.807,13375,38.4,-121.37
USA,5/15/1940,USA,40.807,13375,41.69,-85.97
USA,5/15/1940,USA,40.807,13375,39.27,-76.83
USA,5/15/1940,USA,40.807,13375,41.9,-87.94
USA,5/15/1940,USA,40.807,13375,41.38,-82.11
USA,5/15/1940,USA,40.807,13375,33.05,-117.26
USA,5/15/1940,USA,40.807,13375,36.41,-97.87
USA,5/15/1940,USA,40.807,13375,42.13,-80.09
USA,5/15/1940,USA,40.807,13375,33.14,-117.07
USA,5/15/1940,USA,40.807,13375,41.59,-81.52
USA,5/15/1940,USA,40.807,13375,44.05,-123.11
USA,5/15/1940,USA,40.807,13375,32.85,-97.08
USA,5/15/1940,USA,40.807,13375,42.05,-87.69
